data,acquired_by_app_immuni,acquired_by_app_immuni_total,acquired_by_web_ts,acquired_by_web_ts_total,acquired_by_web_id,acquired_by_web_id_total,acquired_by_web_spid,acquired_by_web_spid_total,acquired_by_operator_ts,acquired_by_operator_ts_total,acquired_by_operator_id,acquired_by_operator_id_total,acquired_by_app_io,acquired_by_app_io_total,acquired_all,acquired_all_total
2021-07-18,79516,1833311,385457,10732400,281,5193,13787,968241,101068,2815207,311,11354,710430,18427266,1290850,34792972
2021-07-17,71750,1753795,330428,10346943,507,4912,78685,954454,95845,2714139,1405,11043,786581,17716836,1365201,33502122
2021-07-16,50894,1682045,307226,10016515,606,4405,122855,875769,86566,2618294,1571,9638,606648,16930255,1176366,32136921
2021-07-15,61505,1631151,353918,9709289,420,3799,113379,752914,95627,2531728,1166,8067,669254,16323607,1295269,30960555
2021-07-14,62491,1569646,366277,9355371,271,3379,85620,639535,96233,2436101,768,6901,651508,15654353,1263168,29665286
2021-07-13,48294,1507155,290132,8989094,262,3108,56930,553915,75310,2339868,639,6133,507903,15002845,979470,28402118
2021-07-12,39597,1458861,261697,8698962,301,2846,51002,496985,56745,2264558,773,5494,389992,14494942,800107,27422648
2021-07-11,26866,1419264,122845,8437265,148,2545,3581,445983,35636,2207813,183,4721,357095,14104950,546354,26622541
2021-07-10,21867,1392398,123564,8314420,376,2397,27192,442402,32349,2172177,791,4538,319985,13747855,526124,26076187
2021-07-09,34731,1370531,210597,8190856,332,2021,50292,415210,50651,2139828,807,3747,425402,13427870,772812,25550063
2021-07-08,26060,1335800,184364,7980259,233,1689,46485,364918,50510,2089177,591,2940,371755,13002468,679998,24777251
2021-07-07,33740,1309740,221303,7795895,156,1456,46700,318433,56860,2038667,426,2349,411127,12630713,770312,24097253
2021-07-06,34279,1276000,228429,7574592,168,1300,47975,271733,66157,1981807,371,1923,476147,12219586,853526,23326941
2021-07-05,38599,1241721,278009,7346163,164,1132,51070,223758,71352,1915650,376,1552,426952,11743439,866522,22473415
2021-07-04,47992,1203122,259743,7068154,98,968,4181,172688,63329,1844298,92,1176,497124,11316487,872559,21606893
2021-07-03,46672,1155130,241800,6808411,186,870,25959,168507,65236,1780969,330,1084,541025,10819363,921208,20734334
2021-07-02,48374,1108458,283021,6566611,171,684,44899,142548,81150,1715733,309,754,661767,10278338,1119691,19813126
2021-07-01,61937,1060084,386432,6283590,129,513,31603,97649,109026,1634583,126,445,836017,9616571,1425270,18693435
2021-06-30,61553,998147,387342,5897158,64,384,14120,66046,109266,1525557,65,319,884497,8780554,1456907,17268165
2021-06-29,65367,936594,356103,5509816,46,320,11226,51926,101493,1416291,41,254,556965,7896057,1091241,15811258
2021-06-28,39957,871227,339205,5153713,64,274,9877,40700,79836,1314798,32,213,575933,7339092,1044904,14720017
2021-06-27,44329,831270,272761,4814508,59,210,976,30823,59226,1234962,9,181,609905,6763159,987265,13675113
2021-06-26,82154,786941,404566,4541747,37,151,4187,29847,109917,1175736,17,172,945334,6153254,1546212,12687848
2021-06-25,51206,704787,364673,4137181,54,114,7655,25660,88595,1065819,39,155,781636,5207920,1293858,11141636
2021-06-24,113989,653581,726107,3772508,27,60,6313,18005,179108,977224,21,116,1025239,4426284,2050804,9847778
2021-06-23,178503,539592,942940,3046401,5,33,4787,11692,255405,798116,22,95,1225962,3401045,2607624,7796974
2021-06-22,153175,361089,883764,2103461,14,28,3642,6905,239701,542711,12,73,1034130,2175083,2314438,5189350
2021-06-21,119363,207914,707424,1219697,6,14,2252,3263,191579,303010,19,61,797961,1140953,1818604,2874912
2021-06-20,44282,88551,253647,512273,4,8,372,1011,66623,111431,0,42,272097,342992,637025,1056308
2021-06-19,32675,44269,202661,258626,4,4,568,639,35033,44808,30,42,70826,70895,341797,419283
2021-06-18,11408,11594,54874,55965,0,0,71,71,9555,9775,12,12,69,69,75989,77486
2021-06-17,186,186,1091,1091,0,0,0,0,220,220,0,0,0,0,1497,1497
